tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.46 Cr,"₹32,444 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Bali Divine,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1.3 Cr,"₹32,098 /sqft",405 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Gokul Tower,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹95 Lac,"₹16,379 /sqft",580 sqft,(54 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Kanakia Zen World,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹1.22 Cr,"₹26,754 /sqft",761 sqft,(71 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.7 Cr,"₹34,343 /sqft",640 sqft,(59 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Avenue,RESALE,"in Kannamwar Nagar 2, Vikhroli East",1 BHK Flat,₹82 Lac,"₹20,707 /sqft",655 sqft,(61 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Arihant Enclave Andheri East,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1.6 Cr,"₹35,794 /sqft",447 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.7 Cr,"₹23,287 /sqft",730 sqft,(68 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.68 Cr,"₹23,013 /sqft",730 sqft,(68 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.68 Cr,"₹23,013 /sqft",730 sqft,(68 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹28,409 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
mrinal,RESALE,"in Ashok Nagar Kandivali, Kandivali East",1 BHK Flat,₹98 Lac,"₹23,058 /sqft",425 sqft,(39 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
White City,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.26 Cr,"₹26,304 /sqft",479 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
