tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
karmsangam mandpeshwaer,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹61 Lac,"₹22,676 /sqft",269 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Zee Nikita,RESALE,"in Vile Parle East, Mumbai",1 BHK Flat,₹1.43 Cr,"₹29,729 /sqft",481 sqft,(45 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Triveni Towers,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹55 Lac,"₹18,032 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kurla Kamgar CHS,RESALE,"in Kurla East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹26,315 /sqft",475 sqft,(44 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Prabhu Krupa CHS,RESALE,"in Fateh Baug, Kandivali West",1 BHK Flat,₹77 Lac,"₹22,985 /sqft",335 sqft,(31 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Azim Apartment,RESALE,"in Jogeshwari West, Mumbai",1 BHK Flat,₹1.14 Cr,"₹14,250 /sqft",800 sqft,(74 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Queens View,RESALE,"in Juhu, Mumbai",1 BHK Flat,₹2.5 Cr,"₹48,076 /sqft",610 sqft,(57 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
SV Shashwat Park,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹65 Lac,"₹13,131 /sqft",495 sqft,(46 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Madhuvan Chs,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.25 Cr,"₹23,148 /sqft",540 sqft,(50 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Rustomjee Regency,RESALE,"in Dahisar West, Mumbai",1 BHK Flat,₹1.2 Cr,"₹20,000 /sqft",600 sqft,(56 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Sunshine hills vasai,RESALE,"in ram rahim nagar, Mumbai",1 BHK Flat,₹30 Lac,"₹4,918 /sqft",610 sqft,(57 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Sukhsagar Building,RESALE,"in Jagdusha Nagar, Ghatkopar",1 BHK Flat,₹95 Lac,"₹16,964 /sqft",560 sqft,(52 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Oshiwara Lokhanwala,RESALE,"in Oshiwara, Jogeshwari",1 BHK Flat,₹49 Lac,"₹18,594 /sqft",320 sqft,(30 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Jai Ganesh CHS Ltd.,RESALE,"in Mahim West, Mumbai",1 BHK Flat,₹1.65 Cr,"₹35,106 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
4th floor panna apartment billal pada,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹52.5 Lac,"₹17,500 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Shantinath Jain,RESALE,"in Pydhonie, Mandvi, Mumbai",1 BHK Flat,₹59 Lac,"₹16,857 /sqft",400 sqft,(37 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Paradise Height,RESALE,"in Chikuwadi, Malad West",1 BHK Flat,₹68 Lac,"₹22,295 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ariana Residency,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹78 Lac,"₹16,082 /sqft",485 sqft,(45 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
goregaon west,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹69 Lac,"₹21,230 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Swastik avighna,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹1.32 Cr,"₹30,626 /sqft",431 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
The shree krushna tower,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹80 Lac,"₹21,333 /sqft",375 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
The Kaveri Heights,RESALE,"in Ghatkopar East, Mumbai",1 BHK Flat,₹89 Lac,"₹21,445 /sqft",415 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
ekveera aai sankool,RESALE,"in Dombivli East, Mumbai",1 BHK Flat,₹18 Lac,"₹5,294 /sqft",340 sqft,(32 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
khar west,RESALE,"in Khar West, Mumbai",1 BHK Flat,₹2 Cr,"₹40,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
"Jai Ambey, SRA Chs",RESALE,"in Oshiwara, Jogeshwari",1 BHK Flat,₹65 Lac,"₹12,454 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Gavanpada,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹48 Lac,"₹12,030 /sqft",399 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
real heights vasai,RESALE,"in vasai east, Mumbai",1 BHK Flat,₹35 Lac,"₹7,777 /sqft",450 sqft,(42 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
M M Hemu Blossoms,RESALE,"in Vile Parle West, Mumbai",1 BHK Flat,₹1.65 Cr,"₹41,250 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
krishna Ambika Arcade Chs Ltd,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1 Cr,"₹30,769 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Vijay Chs,RESALE,"in Chembur East, Mumbai",1 BHK Flat,₹80 Lac,"₹20,618 /sqft",520 sqft,(48 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Grow More Bliss,RESALE,"in Malvani, Malad West",1 BHK Flat,₹55 Lac,"₹14,102 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
"Ashwath Cooperative Society, New MHADA Colony",RESALE,"in Pratikhsha Nagar, Mumbai",1 BHK Flat,₹95 Lac,"₹19,628 /sqft",484 sqft,(45 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Navodayagiri Chs,RESALE,"in Kannamwar Nagar 1, Vikhroli East",1 BHK Flat,₹85 Lac,"₹21,250 /sqft",400 sqft,(37 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
skydeep chs,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹74 Lac,"₹11,127 /sqft",665 sqft,(62 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
guru krupa apartments,RESALE,"in Kalbhairav apartments, Mumbai",1 BHK Flat,₹28 Lac,"₹4,375 /sqft",640 sqft,(59 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
1st Pasta Lane Colaba,RESALE,"in Colaba, Mumbai",1 BHK Flat,₹2.85 Cr,"₹35,625 /sqft",920 sqft,(85 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Ashoka Apartment,RESALE,"in Colaba, Mumbai",1 BHK Flat,₹2.5 Cr,"₹45,454 /sqft",550 sqft,(51 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Harmony Co Operative Housing Society,RESALE,"in Raheja Vihar, Chandivali",1 BHK Flat,₹46 Lac,"₹17,100 /sqft",269 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Shanti Nagar Rahiwashi SRA Chs Mahakali Caves,RESALE,"in MIDC Chakala Industrial Area, Andheri East",1 BHK Flat,₹52 Lac,"₹23,111 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Arhat Goregaon Yogiraj CHSL,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹85.2 Lac,"₹24,000 /sqft",355 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Harijan Vijay Chs,RESALE,"in Chembur East, Mumbai",1 BHK Flat,₹80 Lac,"₹20,618 /sqft",388 sqft,(36 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Krishna Ambika Arcade,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1 Cr,"₹30,769 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Pooja CHS,RESALE,"in Malvani, Malad West",1 BHK Flat,₹48 Lac,"₹10,169 /sqft",472 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Snehi CHS,RESALE,"in Lokhandwala Andheri West, Mumbai",1 BHK Flat,₹1.25 Cr,"₹25,000 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Swapnapoorti chs,RESALE,"in Majas Wadi, Jogeshwari",1 BHK Flat,₹80 Lac,"₹26,666 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha Regalia,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹1.02 Cr,"₹16,320 /sqft",625 sqft,(58 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sangharsh CHSL,RESALE,"in MMRDA Colony, Chembur East",1 BHK Flat,₹30 Lac,"₹13,333 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
kurla west,RESALE,"in Near Anjuman islam highschool, Mumbai",1 BHK Flat,₹35 Lac,"₹15,555 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Airbus Society,RESALE,"in Sai Wadi, Andheri East",1 BHK Flat,₹56 Lac,"₹17,230 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
aditya raj royale,RESALE,"in Tagore Nagar, Vikhroli East",1 BHK Flat,₹85 Lac,"₹20,047 /sqft",424 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Rameshwar CHS,RESALE,"in Parel, Mumbai",1 BHK Flat,₹1.5 Cr,"₹46,875 /sqft",320 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Budget Homes The Nest,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹62.5 Lac,"₹23,148 /sqft",444 sqft,(41 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Celestia new Tower,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹1.05 Cr,"₹25,000 /sqft",640 sqft,(59 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Level The Residences,RESALE,"in Oshiwara, Jogeshwari",1 BHK Flat,₹90 Lac,"₹28,938 /sqft",311 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
MHADA Standard Mill,RESALE,"in Century Bazaar, Prabhadevi",1 BHK Flat,₹80 Lac,"₹35,555 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Nesco Colony,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹53.5 Lac,"₹23,777 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Moss Om Gurukrupa SRA CHS,RESALE,"in Vile Parle East, Mumbai",1 BHK Flat,₹95 Lac,"₹31,666 /sqft",350 sqft,(33 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Nesco Colony,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹53.5 Lac,"₹23,777 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Gauri CHS,RESALE,"in Eksar, Borivali West",1 BHK Flat,₹1.05 Cr,"₹20,192 /sqft",520 sqft,(48 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
HDIL Dheeraj Upvan,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹92 Lac,"₹21,395 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
New Nikita Apartment,RESALE,"in Chikuwadi, Malad West",1 BHK Flat,₹1.1 Cr,"₹19,748 /sqft",557 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
ruparel elara,RESALE,"in kandivali west, Mumbai",1 BHK Flat,₹90 Lac,"₹13,846 /sqft",650 sqft,(60 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Paradise Height,RESALE,"in Chikuwadi, Malad West",1 BHK Flat,₹70 Lac,"₹22,950 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
DP Star Building,RESALE,"in Nahur, Bhandup West",1 BHK Flat,₹80 Lac,"₹21,917 /sqft",365 sqft,(34 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Godavari Apartments,RESALE,"in Lokhandwala Andheri West, Mumbai",1 BHK Flat,₹1.35 Cr,"₹24,545 /sqft",550 sqft,(51 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sahyog CHS,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹42 Lac,"₹23,333 /sqft",180 sqft,(17 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Deep Residency,RESALE,"in Bhoiwada, Parel",1 BHK Flat,₹1.75 Cr,"₹31,818 /sqft",660 sqft,(61 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Anurag Plaza CHS,RESALE,"in Vile Parle West, Mumbai",1 BHK Flat,₹85 Lac,"₹18,823 /sqft",425 sqft,(39 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Shalimar Building Colaba,RESALE,"in Colaba, Mumbai",1 BHK Flat,₹85 Lac,"₹42,500 /sqft",200 sqft,(19 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
New Lotus,RESALE,"in Mulund Colony, Mulund West",1 BHK Flat,₹75 Lac,"₹14,395 /sqft",521 sqft,(48 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Patidar complex,RESALE,"in Kannamwar Nagar 2, Vikhroli East",1 BHK Flat,₹94 Lac,"₹19,583 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Amrut smruti Apartment,RESALE,"in Andheri West, Mumbai",1 BHK Flat,₹1.3 Cr,"₹26,000 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
lourdes citadel chs,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.08 Cr,"₹23,225 /sqft",465 sqft,(43 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Ruparel Nova,RESALE,"in Parel, Mumbai",1 BHK Flat,₹1.5 Cr,"₹40,760 /sqft",368 sqft,(34 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
shiv samarth co op housing society,RESALE,"in Mahalaxmi, Mumbai",1 BHK Flat,₹1 Cr,"₹32,786 /sqft",305 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Under Construction
Sheth Vasant Pride,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.24 Cr,"₹25,833 /sqft",678 sqft,(63 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
"mahalakshmi,sane guruji marg,",RESALE,"in near mono rail station sant gadge maharaj, Mumbai South",1 BHK Flat,₹1.15 Cr,"₹37,704 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Royal Garden,RESALE,"in Jogeshwari West, Mumbai",1 BHK Flat,₹1.3 Cr,"₹15,294 /sqft",850 sqft,(79 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
on request,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹99.9 Lac,"₹25,615 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
on request,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹1.45 Cr,"₹32,222 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
sunder nagar kalina,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹1.3 Cr,"₹22,223 /sqft",595 sqft,(55 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sun Tower,RESALE,"in Parel, Mumbai",1 BHK Flat,₹1.75 Cr,"₹26,923 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
New Sujata CHS,RESALE,"in Chandrabai Nagar, Juhu, Mumbai",1 BHK Flat,₹7 Cr,"₹1,40,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
mary amboli,RESALE,"in Amboli, Andheri West",1 BHK Flat,₹66 Lac,"₹26,400 /sqft",250 sqft,(23 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Mhada Lig Colony,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹58 Lac,"₹19,333 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Rajesh Sarvodaya Chs,RESALE,"in Jogeshwari East, Mumbai",1 BHK Flat,₹77 Lac,"₹15,098 /sqft",510 sqft,(47 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Gorai Shiv Shambhu,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹77 Lac,"₹17,111 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Himalaya parvatiya chs,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹68 Lac,"₹16,585 /sqft",410 sqft,(38 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Tara Gagan CHS,RESALE,"in Tilak nagar, Chembur",1 BHK Flat,₹87 Lac,"₹24,857 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ramachandra Apartment,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹20,446 /sqft",538 sqft,(50 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
On request,RESALE,"in Jogeshwari East, Mumbai",1 BHK Flat,₹80 Lac,"₹28,222 /sqft",320 sqft,(30 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Budget Homes The Nest,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹65 Lac,"₹24,074 /sqft",270 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Mauli Omkar,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹69 Lac,"₹22,477 /sqft",306 sqft,(28 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Akashdeep CHS,RESALE,"in Nehru Nagar, Kanjurmarg East",1 BHK Flat,₹95 Lac,"₹22,565 /sqft",656 sqft,(61 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Ananta Heights,RESALE,"in Kannamwar Nagar 1, Vikhroli East",1 BHK Flat,₹75.5 Lac,"₹18,875 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Gloria Light Apartment,RESALE,"in JB Nagar, Andheri East",1 BHK Flat,₹1.3 Cr,"₹27,659 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Redstone Saifee Park,RESALE,"in Mustafa Bazar, Byculla, Mumbai",1 BHK Flat,₹1.6 Cr,"₹24,242 /sqft",660 sqft,(61 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Rose Apartment,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹60 Lac,"₹10,256 /sqft",585 sqft,(54 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Piramal Revanta,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.35 Cr,"₹28,125 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Swaroop Residency,RESALE,"in Ghatkopar East, Mumbai",1 BHK Flat,₹1 Cr,"₹20,618 /sqft",485 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sai Ganesh SRA CHS,RESALE,"in Mahakali Caves, Malad West",1 BHK Flat,₹55 Lac,"₹24,444 /sqft",330 sqft,(31 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Wadhwa The Nest,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹65 Lac,"₹17,808 /sqft",365 sqft,(34 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
RNA COMPLEX,RESALE,"in Kanjurmarg west, Mumbai",1 BHK Flat,₹40 Lac,"₹16,000 /sqft",250 sqft,(23 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
City View CHS,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹75 Lac,"₹17,647 /sqft",425 sqft,(39 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
evershine 2 chs,RESALE,"in Andheri West, Mumbai",1 BHK Flat,₹1.45 Cr,"₹32,222 /sqft",450 sqft,(42 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
sra  dr baba saheb ambedkar chs,RESALE,"in Chembur West, Mumbai",1 BHK Flat,₹45 Lac,"₹15,000 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Tiwari Bhuvan,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹60 Lac,"₹18,181 /sqft",330 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Marathon Neoskies,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹72 Lac,"₹21,671 /sqft",323 sqft,(30 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
raghuvansh chs ltd,RESALE,"in Bhandup East, Mumbai",1 BHK Flat,₹81 Lac,"₹16,200 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
safalya tarabaug apartment,RESALE,"in Mazgaon, Mumbai",1 BHK Flat,₹2 Cr,"₹26,666 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Omkar SRA,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹42 Lac,"₹13,125 /sqft",440 sqft,(41 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
radhika residency,RESALE,"in Chembur West, Mumbai",1 BHK Flat,₹95 Lac,"₹15,200 /sqft",625 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Redwoods Apartments,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹99 Lac,"₹21,521 /sqft",575 sqft,(53 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Vashistha CHS,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹20,000 /sqft",680 sqft,(63 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
jyoti society,RESALE,"in Andheri West, Mumbai",1 BHK Flat,₹2.5 Cr,"₹43,859 /sqft",570 sqft,(53 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Shree Sai Ganesh CHS,RESALE,"in Parel, Mumbai",1 BHK Flat,₹70 Lac,"₹22,580 /sqft",310 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kamal Apartments,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹2 Cr,"₹40,404 /sqft",495 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sadbhavna Complex,RESALE,"in Chakala, Andheri East",1 BHK Flat,₹38 Lac,"₹16,888 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shraddha Autumn Park,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹84 Lac,"₹22,105 /sqft",615 sqft,(57 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
New Raj Chs,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹72 Lac,"₹17,102 /sqft",421 sqft,(39 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
ANMOL APTS,RESALE,"in Marine Lines, Mumbai",1 BHK Flat,₹1.55 Cr,"₹40,789 /sqft",380 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
23/31 C P Tank,RESALE,"in Cawasji Patel Tank, Bhuleshwar, Mumbai",1 BHK Flat,₹70 Lac,"₹25,454 /sqft",275 sqft,(26 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Rubberwala Ameena Height,RESALE,"in Agripada, Mumbai",1 BHK Flat,₹3.75 Cr,"₹68,181 /sqft",550 sqft,(51 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
"Parel, Mumbai, Mumbai South",RESALE,"in Parel, Mumbai",1 BHK Flat,₹75 Lac,"₹37,500 /sqft",200 sqft,(19 sqm),Built-up Area,1 BHK,(1  Bath),Under Construction
"Sankalp siddhi co operative society, Chandivali",RESALE,"in Sangharsh Nagar, Chandivali",1 BHK Flat,₹33 Lac,"₹14,666 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Nirmal Lifestyle One Mumbai,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹50 Lac,"₹16,666 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
orchid ozone,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹55 Lac,"₹7,692 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Royal Complex,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹88 Lac,"₹14,666 /sqft",600 sqft,(56 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Pankaj Apartment,RESALE,"in Eksar, Borivali West",1 BHK Flat,₹84 Lac,"₹15,769 /sqft",520 sqft,(48 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Well To Do CHS,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹32,394 /sqft",355 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shri Shri Kalimata CHS,RESALE,"in Shiv Shakti Nagar, Kurla, Mumbai",1 BHK Flat,₹1.15 Cr,"₹20,535 /sqft",560 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Mount Kailash CHS,RESALE,in Mumbai Central,1 BHK Flat,₹3.2 Cr,"₹48,120 /sqft",665 sqft,(62 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Sahajanand Athena,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1.17 Cr,"₹29,923 /sqft",391 sqft,(36 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Krishna nivas chembur,RESALE,"in Chembur, Mumbai",1 BHK Flat,₹90 Lac,"₹20,454 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
standalone building,RESALE,"in Mandvi, Mumbai",1 BHK Flat,₹47 Lac,"₹13,428 /sqft",350 sqft,(33 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Shraddha Evoque,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹52 Lac,"₹22,608 /sqft",230 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
