tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
Dharti Pressidio,"in Malad West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.2 Cr,"₹22,857 /sqft",525 sqft,(49 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Mulund West,"in Mulund West, Mumbai",2 BHK Flat,,₹1.75 Cr,"₹23,178 /sqft",755 sqft,(70 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Millennium Apartment,"in Chakala, Andheri East",2 BHK Flat,,₹2.1 Cr,"₹31,343 /sqft",670 sqft,(62 sqm),Carpet Area,2 BHK,Ready To Move
Acme Complex,"in Malad West, Mumbai",2 BHK Flat,,₹2 Cr,"₹28,571 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
Beech Tree,"in MIG Colony, Bandra",2 BHK Flat,,₹2.75 Cr,"₹41,291 /sqft",792 sqft,(74 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
Kalpataru Radiance,"in Goregaon West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹3.2 Cr,"₹36,322 /sqft",881 sqft,(82 sqm),Carpet Area,2 BHK,Ready To Move
Runwal Forests,"in Kanjurmarg west, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.8 Cr,"₹27,231 /sqft",661 sqft,(61 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aarey Colony,"in Goregaon East, Mumbai",2 BHK Flat,,₹65 Lac,"₹16,666 /sqft",560 sqft,(52 sqm),Super Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
"301 Parle Pearl CHS , G B Indulkar Road","in Paranjape Nagar, Vile Parle",2 BHK Flat,,₹2.85 Cr,"₹37,500 /sqft",760 sqft,(71 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Meenakshi Apartments,"in Liberty Garden, Malad West",2 BHK Flat,,₹2.62 Cr,"₹30,465 /sqft",860 sqft,(80 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
